,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
KAZN,1.2708856,0.064442776,0.6754611,1.5424197,4.0674167,0.94686604,1.7614547,0.22177096,0.5802046,0.8797231,0.12652035,1.9750876,0.56007653
TMEM51,0.11904319,0.08138804,0.7367838,0.5998426,0.60329634,0.62515414,0.36982545,1.7824733,0.25404504,0.19209857,0.0655216,0.44172382,0.7215668
FHAD1,0.120988116,0.13338813,0.43619016,0.26319677,0.47010106,0.4706635,0.1783949,0.4843577,0.2358143,0.11704951,0.09669473,0.9172529,0.65364325
EFHD2,0.10106103,0.06804805,0.32828888,0.58013886,0.21847567,0.38117352,0.36687905,0.36356091,0.40754795,0.27500418,0.22089037,0.32476804,0.7391962
CTRC,0.8297289,0.6840184,0.66311353,0.8583271,0.29462886,0.85926974,0.64180464,0.44736803,0.7732538,0.7872487,0.54301804,0.07810253,0.8926307
CELA2B,0.5571078,0.65912175,0.6861487,0.5219977,0.019495178,0.9964609,0.6495401,0.023717243,0.5257245,0.5160433,0.26168972,0.032325342,0.8588283
CASP9,0.22007953,0.059994012,0.6313537,0.19536196,0.08443188,0.48652312,0.4222972,0.10189724,0.26543456,0.09599689,0.052839104,0.16680717,0.834008
DNAJC16,0.7894888,0.063794024,0.28892872,0.7317744,0.49867463,0.84281653,1.2123605,0.3541288,0.37966686,0.5982167,0.26713833,1.0324081,0.60179204
AGMAT,0.20475194,0.06617585,0.451477,0.07924491,0.020315696,0.47157496,0.14992161,0.01634892,0.23950966,0.04813207,0.037200667,0.047657497,0.6948075
DDI2,0.8866811,0.5283848,0.43467474,1.557557,0.6943647,0.34449703,0.2496743,0.7708736,0.5896554,0.3385362,0.40561303,1.0651982,1.7540019
PLEKHM2,0.61185664,0.2538665,0.26867568,1.0319586,0.93837345,0.33715627,0.21927811,0.8293384,0.5462383,0.2195346,0.16148874,0.5660422,1.288766
SLC25A34,0.24003185,0.069360904,0.76058334,0.105198845,0.08473563,0.61556387,0.18611437,0.053982124,0.35932466,0.061885256,0.021814393,0.061470892,0.7260508
TMEM82,0.9491899,0.823672,1.0659076,0.9927312,0.1973856,0.8652076,0.8763659,0.44546783,0.8317144,0.7675265,1.1985712,0.22092503,0.8596095
FBLIM1,0.19136526,0.07185807,0.4388096,0.4717689,0.70912474,0.29327613,0.227529,0.032746527,0.19223581,0.15207754,0.018226203,0.35658792,0.70821047
UQCRHL,0.57425153,0.65080816,0.5450379,1.1440191,0.025276078,0.67244655,0.51140964,0.017289173,0.70146674,0.39062172,0.27191848,0.016406963,0.8802734
SPEN,1.3622802,1.2862861,1.6885513,1.2860276,1.4868156,1.0757548,1.0499141,1.3453003,1.034055,0.97991204,1.1991202,1.9905578,0.7165763
ZBTB17,0.40724412,0.055598654,0.3435629,0.21764016,0.24627315,0.3198246,0.09011811,0.1444899,0.601192,0.090320505,0.16068555,0.29716775,0.716411
SRARP,0.173105,0.097195596,0.44802326,0.03635862,0.026948506,0.4190906,0.1838158,0.005645915,0.31042048,0.16065031,0.058104627,0.16270556,0.62042075
HSPB7,1.1732537,0.8901954,1.0156615,0.76964086,0.25165927,0.8211079,0.7111578,0.34991738,0.73351467,1.125139,0.53687596,0.06742278,0.7295193
CLCNKA,0.913359,0.882804,0.7014956,0.52509683,0.19159807,0.6602307,0.75097114,0.14398237,0.7648775,0.54033977,0.40845197,0.053241674,0.6830453
CLCNKB,0.8376215,0.99122626,0.9663203,0.8533245,0.8500289,0.84956634,0.8156413,0.49565664,0.8309499,0.71877384,0.75919205,0.17712983,0.6553682
FAM131C,0.7489935,0.36950555,0.5665511,0.6836225,0.1740982,0.866708,0.85708416,0.6141802,0.8588725,1.0131495,0.539114,0.1412578,0.71316636
EPHA2,0.25924388,0.09266333,0.3781833,0.46339288,0.015262934,0.34502244,0.32950807,0.016582193,0.28022984,0.05416961,0.01725338,0.17100692,0.6039252
ARHGEF19,0.12158498,0.12741284,0.4590218,0.11396724,0.041341018,0.36148095,0.14789625,0.011018551,0.27171025,0.09843278,0.017633788,0.06745773,0.64059705
CPLANE2,0.6797704,0.49728885,0.9437883,0.5073675,0.010837909,0.9077298,0.86328375,0.005926302,0.72584945,0.5375196,0.08894079,0.025391728,0.8202102
FBXO42,1.0542969,0.9756366,0.6209217,1.3165365,1.511624,0.58316267,0.9795819,1.1727041,0.90144914,0.5317367,0.5670208,1.3550243,0.8273461
SZRD1,0.6366616,0.119520076,0.7020627,0.44854903,0.377773,0.3006303,0.5544121,0.3352575,0.30908683,0.19821289,0.13750781,0.5370991,0.5295999
SPATA21,0.38556516,0.06242897,0.31699017,0.119885534,0.03913298,0.30174685,0.11232286,0.060549002,0.20580423,0.09129281,0.01683818,0.059222765,0.96551406
NECAP2,0.41213217,0.11069782,0.3217384,0.47894216,0.28396094,0.45304203,0.66286004,0.3069861,0.38688788,0.14406152,0.20206068,0.40711525,0.91216016
NBPF1,0.700851,0.12933959,0.676529,0.45470503,0.5097155,0.99330115,0.5523851,0.5851731,0.18039511,0.28380257,0.09173506,1.0149404,0.81846184
CROCC,0.42996705,0.2501761,0.37434787,0.471996,0.3901192,0.7514604,0.10964721,0.19209424,0.50334466,0.22886829,0.05274341,0.42821875,0.9480835
MFAP2,0.2119472,0.20526037,0.2910289,0.52282405,0.7179826,0.30291083,0.26715377,0.022921883,0.36630467,0.043767534,0.033972453,0.3027614,0.7121275
ATP13A2,0.53070116,0.18165798,0.6776982,0.46569774,0.2201571,0.33168545,0.091817565,0.09707153,0.19957507,0.08911118,0.09371657,0.46907884,0.5869874
SDHB,0.10616173,0.25223345,1.0267675,0.73375523,0.5112954,0.42943949,0.43532425,0.4934767,0.38923633,0.40189132,0.19210453,0.61388224,0.48614332
PADI2,0.4044888,0.19620915,0.51110846,0.22402348,0.13170712,0.621275,0.9585345,0.70552707,0.76451147,0.17680065,0.058138587,0.075338565,0.46343505
PADI1,0.68165565,1.1758015,0.8196192,0.5873065,0.14080697,0.87814087,0.88623005,0.20246679,0.7512831,0.8622749,0.81441206,0.05888672,0.71672064
PADI3,1.1943287,0.72387993,0.73782927,0.5988401,0.3555787,1.0298594,1.0140997,0.5690139,0.7864378,0.60405666,0.5003102,0.43029308,0.83773637
PADI4,1.1131994,0.7706064,0.67502505,0.8288444,0.05944592,0.92185694,0.8610595,0.05976391,0.8912201,0.5914617,0.63655776,0.031016482,0.86346185
PADI6,0.7519362,0.7545213,1.0342387,0.71015096,0.35932952,0.64006644,1.1091074,0.3885397,0.7080643,0.86278033,0.61600286,0.06044344,0.91992515
RCC2,1.1354696,0.4360322,0.67488056,1.4474405,0.6139659,0.28017798,0.47497594,1.0161153,0.19334684,0.6618764,0.18106808,1.2663319,1.5842633
ARHGEF10L,0.910018,0.18552959,0.42435503,0.48542446,0.61127245,1.1871808,1.4886667,0.85823256,0.74059725,0.24500416,0.06648894,0.6644208,0.64262956
ACTL8,0.82908154,0.8206741,0.93762374,0.5185348,0.6430891,0.7117736,1.075012,0.7585804,0.6906962,0.6215194,0.7064821,0.33591422,0.91194797
IGSF21,0.32819697,0.14404199,0.6762116,0.10112478,0.09295219,0.7229234,0.28825042,0.3424204,0.5180718,0.17839576,0.079079956,0.06360441,0.90073705
KLHDC7A,0.6016828,0.15774566,0.6581509,0.121070914,0.011990886,0.5986364,0.3016978,0.004282137,0.45853975,0.10351364,0.020515483,0.055188823,0.7822957
PAX7,0.88315165,0.9782443,1.134225,0.8325673,0.02131978,0.85333544,0.81030726,0.03949851,0.8167522,1.0562595,0.4283994,0.022070605,0.66610545
TAS1R2,0.6887853,0.8036076,0.80207384,0.69841397,0.48448136,1.0040786,1.0111775,0.5142893,0.7978112,0.84570944,0.6285141,0.33537242,0.78631335
ALDH4A1,0.18077838,0.06781676,0.3236531,0.077382475,0.036902722,0.36417392,0.124122106,0.027434392,0.20895793,0.094416104,0.013163233,0.07614197,0.8490393
IFFO2,0.3391398,0.17116204,1.2244437,0.50499624,0.31949264,0.44291043,0.6080882,0.11562498,0.57112205,0.099660136,0.1359416,0.42889926,0.86253095
UBR4,1.3961028,0.79754895,0.33470407,1.8326486,1.8607354,1.3103279,0.3836992,0.9737357,1.2050086,0.5136541,0.5785371,1.7318509,0.74679536
EMC1,0.2622862,0.06746342,0.30296043,0.20241462,0.30524293,0.31407574,0.3679051,0.13050374,0.18826585,0.22138363,0.06033952,0.3394432,0.5685329
MRTO4,0.18156445,0.06362808,0.4174337,0.22072801,0.12727405,0.7778061,0.2430154,0.07397996,0.2309923,0.142165,0.07213747,0.20597741,0.7677552
AKR7A3,0.67386895,0.5044233,0.7318793,0.4606807,0.021583546,0.6493112,0.6846791,0.004974663,0.7711555,0.67126364,0.09166324,0.018839668,0.7702009
SLC66A1,0.08461677,0.17687157,0.26072797,0.09901917,0.07422887,0.2649862,0.10284052,0.03228806,0.1610147,0.044839256,0.02135142,0.13569808,0.6634454
CAPZB,2.4394748,1.7226834,1.0042086,3.8521457,6.262788,2.288063,1.2965996,2.7989829,1.738091,1.2181754,1.3554173,2.9657555,0.7008424
MICOS10,0.2713639,0.33770445,0.41461492,0.66733724,0.71290326,0.28533137,0.11128521,0.4549531,0.3983623,0.24213308,0.29917938,1.4400184,0.64196783
NBL1,0.64439434,0.12877494,0.30530423,0.37673223,1.5073863,0.42843986,0.10184153,0.077848665,0.42952898,0.088007756,0.034331203,0.2660207,0.8929251
HTR6,0.70595264,1.1020834,0.7916608,0.555606,0.1821356,1.1270251,0.88988453,0.5089147,0.9602296,0.6323005,0.7019993,0.22160314,0.79562604
TMCO4,1.307386,0.26330563,0.64939344,0.35073188,0.46145582,0.9016683,0.4939791,0.4240456,0.3400932,0.60637784,0.20171164,0.4932289,0.66082406
RNF186,0.95635384,0.5610879,0.7600092,0.54973924,0.60777295,1.080674,0.83557826,0.5807763,0.7135149,0.65187484,0.66453844,0.48002848,1.3131458
OTUD3,0.2031152,0.11242775,0.4948088,0.293663,0.22787921,0.899701,0.77590454,0.087733336,0.18861188,0.13319008,0.13812353,0.32199472,0.67656446
PLA2G2E,0.75321966,1.024112,0.8375886,0.6680444,0.36746046,0.6242442,0.9202747,0.37011197,0.8133835,0.6814015,0.7631687,0.5070438,0.9104767
PLA2G2A,0.85808235,0.8526723,0.6654683,0.8591668,0.17333996,1.0140339,0.73204845,0.2435162,0.9674958,0.98302436,0.9211747,0.04202309,0.8397052
PLA2G5,0.59068036,0.716674,0.67867696,0.39261132,0.06214577,0.88453436,0.96363723,0.030292453,0.88045573,0.58738524,0.21593486,0.008523366,0.70597625
PLA2G2D,0.6782269,0.8094194,1.0305965,0.57296836,0.024073416,0.55720216,1.1105194,0.080746524,0.78344864,0.7105732,0.49273694,0.009248419,0.6897671
PLA2G2F,0.7810607,0.764769,0.9930208,0.91882795,0.2548738,0.9229475,0.7717399,0.57928413,1.1018192,0.83293295,0.7897636,0.41453594,0.90003026
PLA2G2C,0.6638727,0.7523363,0.9486129,0.56360406,0.047456514,0.8394168,0.61110634,0.05013781,0.5500542,0.5513399,0.4402959,0.012366234,0.95191985
UBXN10,0.12417125,0.07293739,0.41742447,0.041174877,0.03767488,0.3844863,0.16310744,0.005420661,0.25846794,0.05613174,0.020721542,0.3573597,0.70642436
VWA5B1,0.62781703,0.5121506,0.76606303,0.8406047,0.42695394,0.8393523,0.74302953,0.37469113,0.83808655,0.4456629,0.7442764,0.16402265,0.6774107
CAMK2N1,0.1991791,0.13885872,0.62882656,0.27426213,0.24243443,0.28862938,0.13583258,0.035996847,0.9379884,0.23270799,0.01752581,0.46898046,0.7368422
MUL1,0.28500998,0.06780787,0.6487981,0.10273211,0.07977209,0.412308,0.12911172,0.031277824,0.25920647,0.20942155,0.051328365,0.14107071,0.9700238
FAM43B,0.68436825,0.8161117,0.7131349,0.6257925,0.17014223,0.754829,0.6816641,0.25633067,0.6990276,0.93445116,0.76608115,0.047662165,1.1153157
CDA,0.557276,0.6229168,0.69452316,0.66439146,0.025478587,0.8698914,0.93198645,0.011211975,0.94768876,0.6410763,0.8790116,0.011277887,0.85822624
PINK1,0.43362176,0.06573361,0.40999955,0.6549898,0.14985889,0.40652347,0.14008938,0.08628089,0.1789415,0.26169115,0.096776664,0.3760472,0.6440558
DDOST,0.36285585,0.19125421,0.99065703,0.5060704,0.4005684,0.34307355,0.26503697,0.25204444,0.58568674,0.8052407,0.1135794,0.65098536,0.67332256
KIF17,0.23710665,0.107875295,0.509113,0.19607717,0.025234053,0.51419574,0.2995185,0.009749736,0.33608165,0.07035583,0.028345268,0.09512501,0.6626297
SH2D5,0.7971395,0.9852061,0.6759843,0.658952,0.23127605,0.8532946,0.7587668,0.26927066,0.6800164,0.7392573,0.6246432,0.06812953,0.8227193
HP1BP3,2.9158807,0.9892217,1.8268344,2.1715708,3.206143,1.9691727,1.0629436,1.6097533,1.5063704,1.6515158,1.1640067,2.5923507,0.4982322
EIF4G3,3.9218843,3.900519,2.3362844,9.104445,7.778763,2.062614,1.0511177,5.344582,3.6258593,3.0733116,2.3563468,10.072249,3.5058522
ECE1,2.123876,0.61834383,0.35667026,2.507765,0.8626299,0.33524856,0.754141,0.15342174,1.706453,0.40727594,0.36972958,2.0912552,0.64855343
ALPL,0.3147974,0.6082459,0.6874871,0.19028224,0.094461225,0.8935017,0.41021776,0.003412397,0.42572162,0.14693539,0.032533333,0.03342615,0.85902196
RAP1GAP,0.104805194,0.058203388,0.4005645,0.029424744,0.014499851,0.42519447,0.13748531,0.006811832,0.22788803,0.14485316,0.03331813,0.12346531,0.89910316
USP48,1.3166494,1.4613556,1.2179163,2.4293334,1.842866,0.69288313,0.9720526,1.0769814,1.1707555,3.0967655,1.0432278,1.6472247,1.542265
LDLRAD2,0.11678932,0.06789298,0.46416602,0.2571523,0.03531322,0.37823638,0.13671958,0.016635837,0.18981768,0.14601964,0.020249937,0.0039585303,0.8496994
HSPG2,1.5428377,0.2704114,0.34501612,8.502896,1.9326091,0.266884,0.7369625,0.10025734,0.38854364,0.13144518,0.054336715,0.507636,0.82937735
CELA3A,0.8356873,0.60920346,0.57967323,0.80511147,0.60935503,0.7960392,0.8853251,0.52924234,0.680747,1.0591143,1.0147511,0.16442855,0.8230755
WNT4,0.27680027,0.06854475,0.3208845,0.16109101,0.039867073,0.36920053,0.15970162,0.00634047,0.20740306,0.09266858,0.018325983,0.2847166,0.57934666
ZBTB40,0.79812,0.5138809,0.63161457,0.53474915,0.41787192,0.9058853,0.10696488,0.37350512,0.55264175,0.8025432,0.26918757,0.73873955,0.5597201
EPHA8,0.6081292,1.0460844,0.73602474,0.73477256,0.01736407,0.98679084,0.8516176,0.023304038,0.84008366,0.8941669,0.50198317,0.034677077,0.8219532
C1QA,0.34473568,0.08137675,0.42232436,0.37563008,0.257973,0.4697722,0.1485199,0.9107616,0.25832286,0.25078708,0.03871389,0.19160783,0.7083539
C1QC,0.10565984,0.076295346,0.5505307,0.24499522,0.18448634,0.40408665,0.18020763,0.6397251,0.25962162,0.0570622,0.07313432,0.090714216,0.5193708
C1QB,0.124166034,0.06143083,0.7561861,0.27280077,0.28445765,0.4013845,0.12689522,0.9156297,0.4668642,0.26957697,0.07755382,0.1646149,0.77621114
EPHB2,0.29718405,0.07317498,0.4125913,0.3094659,0.2651612,0.40332228,0.12857437,0.7260877,0.22596388,0.09498852,0.017856749,0.2058104,0.6396117
LACTBL1,0.7880621,0.787027,0.7708727,0.71446955,0.30158705,0.8602034,1.0037096,0.7468349,0.87923026,1.052573,0.60660946,0.28595835,0.65418637
TEX46,0.69462633,0.60763395,0.75426966,0.7750243,0.042107694,0.8769477,0.6620763,0.057986014,0.7661973,0.7906609,0.41621596,0.024792692,0.974366
KDM1A,0.69507664,0.48958984,0.85999465,0.93232447,1.0159521,0.31550282,1.0905484,0.44473252,0.17132036,0.5464146,0.28679746,1.5386338,0.8485594
LUZP1,0.92564386,0.23781924,1.1755607,2.5187197,1.5411824,0.6994393,0.8687371,0.5989191,0.76754427,0.24237965,0.3758201,0.64486694,0.59841824
HTR1D,0.9252576,0.8608619,0.5358523,0.6986838,0.29381645,0.8936235,0.77333754,0.49269086,0.9156435,0.88343513,0.7845261,0.22400004,0.74693817
HNRNPR,0.8563075,1.2133828,0.63031965,2.1466668,2.0808012,1.1737615,1.324828,0.97594357,0.77709126,1.0733795,0.53331035,2.0266078,0.80852467
ZNF436,0.14310029,0.05293759,0.39724508,0.44168317,0.08373028,0.40260243,0.4045288,0.033922214,0.18490194,0.13469668,0.07172381,0.18274532,0.58464235
TCEA3,0.38804853,0.13107008,0.47283748,0.24187489,0.2526437,0.31448704,0.33545467,0.039038822,0.3599527,0.046669055,0.035774913,0.52700037,0.677742
ASAP3,0.36418983,0.06371573,0.36185554,0.702349,0.58474785,0.8291997,0.1443543,0.030218998,0.18341722,0.18147363,0.089717776,0.71164256,0.5352233
E2F2,0.8191934,0.8248566,1.0381563,0.6880657,0.018609978,0.9385303,0.8885356,0.025961287,0.9846145,0.55937326,0.30190474,0.026414381,0.91281325
ID3,0.5715137,0.26195303,0.8809658,2.135215,0.48302296,0.5388923,0.6107237,0.28697115,0.8759258,0.060093883,0.09713188,1.4134722,0.6527706
ELOA,0.55917305,0.06475769,0.40612626,0.4522543,0.28419504,0.83897424,0.27203923,0.1446396,0.20580475,0.1346489,0.054603744,0.32749856,0.73072386
PITHD1,0.12275387,0.14051037,0.57747513,0.23988806,0.20209049,0.37689918,0.20576747,0.15084581,0.20991957,0.18380512,0.095682755,0.3601946,0.71459305
LYPLA2,0.184656,0.056312215,0.37582788,0.12619643,0.091052465,0.33332697,0.11375836,0.053111944,0.18433057,0.049577035,0.050795894,0.30658457,0.68919694
GALE,0.118631765,0.06885599,0.36058393,0.16973361,0.09402064,0.32480597,0.26594302,0.0874541,0.21805495,0.051406056,0.01690992,0.30339482,0.8063245
HMGCL,0.37475002,0.12695286,0.33997998,0.11006871,0.21214628,0.26444927,0.08391653,0.1537391,0.18440005,0.095235296,0.1781189,0.29119486,0.5979946
CNR2,0.73642164,0.6607408,0.9326317,0.07478812,0.023780372,0.43622053,0.5423314,0.039126743,0.5631728,0.13068175,0.11016669,0.03814872,0.7251466
PNRC2,0.17036077,0.25280002,0.9458473,0.32987246,0.25053275,0.65656567,0.31916732,0.20400468,0.17892282,0.22686748,0.13883609,0.62595284,0.965215
SRSF10,0.7093955,0.7784719,1.5229778,1.8631042,1.3566024,1.2160778,1.4757477,0.77992004,1.7709745,0.6585077,0.97000307,2.2092676,1.6223745
MYOM3,0.22025509,0.21789692,1.0488243,0.29839996,0.0082958015,0.79791397,0.52360064,0.0047317864,0.5552844,0.13460499,0.031111892,0.008239761,0.84895366
IL22RA1,0.7385039,0.71037865,0.9390788,0.59544945,0.36955535,0.87528306,0.7955536,0.4845543,0.77121913,0.804136,0.7626882,0.4356631,0.70124114
IFNLR1,0.12388157,0.4007077,0.95100063,0.074952245,0.06330237,0.55249727,0.18437397,0.32104057,0.26162076,0.4545786,0.05754633,0.106614,0.74482137
GRHL3,0.19167444,0.14762633,0.628852,0.05634516,0.0053771865,0.90755355,0.3249974,0.003709873,0.45959252,0.08252754,0.024811372,0.033007294,0.8039471
STPG1,0.48152053,0.17951313,0.47770867,0.284454,0.08735812,0.42792323,0.17064834,0.07083955,0.30247974,0.2021693,0.072800666,0.48959365,0.83902484
NIPAL3,0.20436643,0.418996,0.48304746,0.5663002,0.25519747,0.37586322,1.2900635,0.25666994,0.39038646,0.4004892,0.3376572,0.501486,0.79906714
RCAN3,0.4970344,0.6714625,0.64273477,0.35978714,0.16610457,0.6739116,0.5118491,0.30704036,0.7868612,0.32535532,0.80905855,0.972733,0.6553535
NCMAP,0.7185512,0.46879444,0.6307543,0.39935884,0.013483854,0.88105303,0.9875233,0.021274095,0.7770296,0.682334,0.31230038,0.014854278,0.7879792
SRRM1,0.6350163,0.5222274,0.55407304,1.9794377,1.4567232,0.5775523,0.68527985,1.0756674,1.3180289,0.917386,0.7674496,1.5066303,0.70323753
CLIC4,1.1889324,0.60729533,1.4451222,4.211827,4.2270465,0.32288802,1.2045773,0.91464204,1.0838519,1.3001256,0.13197222,0.92149967,0.71159834
RUNX3,0.22047752,0.22518949,0.74275076,0.2817952,0.25591877,0.39393204,0.48481297,0.77470434,0.26004586,0.20146234,1.0540566,0.22270331,0.6636836
SYF2,0.28862754,0.052101627,0.4477502,0.5067368,0.19032387,0.45341986,0.3364061,0.16501151,0.21541841,0.27506924,0.075705215,0.3292167,0.8759531
RSRP1,2.7547133,1.8916125,1.0490502,3.4470763,2.8673282,2.000831,3.5403123,2.5762944,1.5347807,1.6774294,2.1007452,2.7019377,0.6125458
RHD,0.5560848,0.22798961,0.4317621,0.29002598,0.16699709,0.5087571,0.70762074,0.089599624,0.5254374,0.3039493,0.09121572,0.1209324,0.7394754
TMEM50A,0.28487942,0.54105604,0.70609987,0.85307276,0.5164917,0.40353468,0.22714753,0.28982547,0.39517504,0.3225819,0.32286814,0.75802845,1.8849235
MACO1,0.71188146,0.6974851,0.40110862,1.588685,0.89005935,0.6966524,0.7435735,0.66342854,0.5527044,0.8204648,0.40578067,1.2217952,1.2621939
LDLRAP1,0.24984784,0.29107413,0.30786952,0.09505607,0.115278706,0.91745067,0.10646907,0.07234094,0.15496603,0.33141083,0.15412606,0.19564286,0.67133343
MAN1C1,0.21184815,0.22658302,0.4433691,0.6885982,0.6238613,0.39253315,0.3414821,0.36080685,0.2886007,0.2605278,0.47216022,0.26483315,0.75634897
SELENON,0.07587054,0.05776142,0.28887752,0.5543815,0.32340798,0.57304037,0.34319955,0.08735476,0.1853028,0.17541097,0.053622805,0.4143711,0.67452854
MTFR1L,0.3726512,0.06117737,0.3472207,0.15622838,0.11535269,0.33554763,0.11624683,0.08678874,0.18262953,0.08953862,0.07111292,0.18947284,0.5964822
AUNIP,0.38225487,0.39571664,0.778284,0.17489901,0.029244896,0.66050905,0.3776957,0.004217618,0.66500145,0.2855412,0.055320464,0.0320933,0.67900306
PAQR7,0.16388324,0.124226,0.5136108,0.07436183,0.042682063,0.5757449,0.20088957,0.013769894,0.31687704,0.06369489,0.020021966,0.04605341,0.83768475
STMN1,0.33922583,0.07298334,0.35976166,0.38207868,0.12553234,0.39975116,0.17515066,0.13514557,0.22805583,0.040756356,0.15063484,0.28789815,0.81138307
PAFAH2,0.6078541,0.25464517,0.35285294,0.3191512,0.12613748,0.36110598,0.23752333,0.1279525,0.24500206,0.1463247,0.15784302,0.32713658,0.58954614
EXTL1,0.95615333,0.6996211,1.1056672,0.6432062,0.20897412,1.0218005,0.6896209,0.27424926,0.83447576,0.58582306,0.719916,0.18848626,0.72546834
SLC30A2,0.62034893,0.8529413,0.61773735,1.0820723,0.35050926,0.82461745,1.0613586,0.55537283,0.72282517,0.79843414,0.86027,0.2398425,0.6267201
TRIM63,0.7492095,0.68797296,0.9833433,0.74764335,0.21479635,0.6059594,0.7454088,0.27302766,0.7566026,0.99810433,0.9771758,0.08564013,0.7720211
PDIK1L,0.18973087,0.15611273,0.3318137,0.26543137,0.054929912,0.38199273,0.30784166,0.11685898,0.32794434,0.45918128,0.056074224,0.14210023,0.8218129
FAM110D,0.1596456,0.088755906,0.385634,0.37332115,0.0049582454,0.51223326,0.15855338,0.005913997,0.2106938,0.056450836,0.030165022,0.001404431,0.7287475
C1orf232,0.69781846,0.7309173,0.9117629,0.9598637,0.36892036,1.0644372,0.85025126,0.45449105,1.0138842,0.9576146,0.8643415,0.21450411,0.6717632
AL391650.1,0.61563534,0.76202357,0.8022111,0.6532713,0.51082903,0.825242,0.8690149,0.51413137,0.8746313,0.6854068,0.79423404,0.31422436,0.7623926
ZNF593,0.088861756,0.078647956,0.43910515,0.17893831,0.0669583,0.39825255,0.1346755,0.048591867,0.17766102,0.18588573,0.01680472,0.18492624,0.7966032
CNKSR1,0.10282347,0.07244428,0.3022407,0.07170985,0.03237993,0.52086127,0.12785852,0.023073185,0.22733438,0.12992384,0.02001549,0.21603864,1.0151457
