,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
TBC1D30,0.1049929,0.09894326,0.44959906,0.30804837,0.13976559,0.761465,0.26251686,0.23731972,0.43283772,0.346679,0.034247693,0.25466147,0.57793796
WIF1,0.67550886,0.55412036,0.6239943,0.7804457,0.36364374,0.7979642,0.77360976,0.2629092,0.82094616,0.676037,0.89858645,0.29871067,0.70103335
LEMD3,1.5754979,1.0444356,0.9828206,1.4691727,1.4928937,0.98226523,1.0714728,1.0090086,1.4229501,1.3146107,0.58007985,1.6478353,0.6857524
MSRB3,1.0634462,0.13222648,1.0875927,2.2217755,4.4268465,0.3979306,0.23742695,0.04595172,1.5823926,0.091713525,0.1018655,0.46593383,1.088206
HMGA2,0.33328223,0.11153914,0.6016642,0.13713036,0.41021082,0.56150204,0.41331866,0.009059468,0.3324697,0.07047376,0.06107051,0.050929263,1.170688
LLPH,0.31999308,0.18407606,0.50531495,0.28877905,0.13885084,0.28433985,0.3707262,0.12871175,0.45974275,0.10155303,0.07233607,0.20718491,0.778705
TMBIM4,1.7668402,1.0427747,0.63910025,2.2297812,1.6617155,1.1976012,0.43434832,1.6068887,2.061192,1.0189669,0.8730159,2.6742506,1.8489121
IRAK3,0.8775847,0.12784007,0.43538296,1.1024034,0.84426653,0.42160645,0.124667265,1.3001201,0.7630426,0.1919317,0.0342205,0.20095229,0.76350725
HELB,0.7259487,0.45496434,1.0410346,0.5739667,0.43250906,0.356597,0.34062478,0.29040223,0.3321178,0.48352224,1.2266234,0.6338036,0.78191614
GRIP1,0.7642762,0.25954044,1.1881366,2.3443353,4.0251813,3.014275,3.7407517,0.25690863,0.35123557,1.0111785,0.38103446,5.2708035,1.2084514
CAND1,0.2694587,0.43447122,0.899574,1.200814,1.6745214,0.6020075,0.32650858,0.60160756,1.3559693,0.80706286,0.6218998,1.6793162,1.326241
DYRK2,0.18581355,0.3890973,0.7901306,0.62576574,0.6891646,0.32661277,0.22599788,0.19538262,0.45484892,0.24118625,0.25637352,0.31265202,0.7220151
IFNG,0.3194252,0.66688997,0.6378601,0.57651985,0.005623695,0.4219163,0.6809504,0.017651109,0.9182177,0.7011844,0.5926715,0.006751257,0.8988331
IL26,0.2671421,0.17667302,0.5085123,0.033137187,0.007451627,0.49956837,0.18879873,0.009371153,0.32074988,0.728108,0.13389114,0.011388574,0.659208
IL22,0.7907255,0.9303211,0.8549043,0.8986317,0.37168506,0.9549026,0.8626703,0.59363407,0.8244708,0.7645674,0.5817186,0.14886998,0.6527475
MDM1,0.40518793,0.14043632,0.60596997,0.5334372,0.30752736,0.5934663,0.13669401,0.1307404,0.23146592,0.28714478,0.12045365,1.0588634,0.7592722
RAP1B,3.7964551,1.7261766,0.91794324,4.3978825,5.230455,0.98900527,2.1055794,3.1612048,2.113974,1.9110987,1.8622196,3.0807292,1.9859334
NUP107,0.38917112,0.41962382,0.5478909,0.99432814,0.79409647,0.7222921,0.36525658,0.5249423,0.55818945,0.44368505,0.4054814,1.1543828,1.441705
SLC35E3,0.69499505,0.0702702,0.3707682,0.3309717,0.36976767,0.33845383,0.37941352,0.24533677,0.7506555,0.3288257,0.25746834,0.5424812,0.78599566
MDM2,1.7533069,0.62008935,0.3534045,1.6389058,1.8846343,0.6751277,1.5232507,1.0794362,0.56162786,0.6409146,0.79094815,3.4050136,0.72378486
CPM,1.7154863,0.5395959,0.5054246,0.89825153,0.6083814,0.45992827,0.40131864,4.5261865,1.1313075,0.22096565,0.09711796,0.34153518,0.67352223
CPSF6,1.9687558,1.6825023,0.96331096,2.2741885,2.783731,1.6190273,1.6911615,1.6448152,1.1783806,1.6076297,1.247764,3.0693457,3.2455082
LYZ,0.628251,0.70634156,0.46787724,0.6872908,0.42700866,0.39958912,0.14231105,1.4452081,1.2004123,0.139673,0.19337168,0.22101536,0.71202666
YEATS4,0.32804874,0.21006373,0.40641198,0.14048395,0.17961194,0.36163244,0.13040042,0.12892197,0.26965728,0.076589085,0.12768537,0.2711995,0.33666128
FRS2,0.87634677,0.64659405,0.31576315,2.326088,2.9372876,0.5891291,1.2237012,1.3402003,1.3398583,0.5806847,0.6032885,2.2923648,0.5757929
CCT2,0.5490006,0.33092454,0.35517022,0.83627564,0.68505186,0.3690293,0.23021218,0.29055065,0.40909797,0.2376886,0.086609304,0.87588835,0.8967038
LRRC10,0.8479819,0.86776644,0.68315685,0.8065718,0.5190156,0.77646756,1.0626279,0.5383382,0.636518,0.9253296,0.7727916,0.32467347,0.78832865
BEST3,0.90360296,0.7824091,0.83073974,1.057288,0.16505843,0.7783974,0.8789323,0.33273,0.839479,0.7461193,0.37770846,0.048949126,1.0064701
RAB3IP,0.39102387,0.62865824,0.34782895,0.86829317,0.30384085,0.59041077,1.4523668,0.15929587,0.20717855,0.45496926,0.2816929,1.7649528,0.76666605
