,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
PLCH2,0.76236784,0.38372785,0.49307323,0.300327,0.59167725,0.034822196,0.26025534,0.2837501,0.017127732,0.15784779,0.60477346,0.04540446,0.1379373,0.08678569
AL139246.1,1.0597336,0.6683917,1.0569805,0.89810646,0.98697835,0.6851245,0.6917077,1.1085876,0.69758993,0.9038071,0.73866534,0.9281604,0.6614123,0.84095716
AL139246.4,0.7848893,1.0217004,0.756343,1.0212921,0.9615838,0.7268507,0.9033535,0.86450726,0.8355416,0.928492,0.84840095,0.9345266,0.6265457,0.7317436
PANK4,0.65935653,0.12514819,0.2487633,0.1939924,0.48737258,0.15750425,0.1353589,0.12154914,0.19869024,0.15654592,0.5368936,0.41452017,0.12634993,0.38250992
HES5,0.78234947,0.91555995,0.9696826,1.2726345,1.1582383,0.81023806,0.8740258,0.8477662,0.7710146,1.0049543,0.7061159,0.6739389,0.5604993,0.6894492
AL139246.5,0.72324336,0.27683014,0.4655841,0.16337635,0.65909237,0.03615078,0.24619217,0.14407241,0.051771577,0.3199828,0.6656113,0.025061743,0.058901597,0.15536281
TNFRSF14-AS1,1.0851213,0.18030271,0.5620605,0.52708304,0.6314112,0.074202105,0.22643997,0.19662024,0.18084532,0.249624,0.7225254,0.10377797,0.11492118,0.59245235
TNFRSF14,1.7034113,0.6269979,2.4969966,3.0884814,0.95639247,0.9389002,1.9755379,0.82970023,3.1453528,0.70561653,2.6440885,1.1227189,0.8186464,4.548657
AL139246.3,1.0645417,0.57964104,0.729719,0.61844647,0.869673,0.09848668,0.7813882,0.42760536,0.009629128,0.6483412,1.1721544,0.07519016,0.020068452,0.07745405
PRXL2B,0.9307963,0.16565144,0.35653895,0.60259587,0.5583165,0.031747036,0.15801655,0.24517614,0.08169046,0.1279922,0.80664915,0.041151535,0.042527385,0.36085612
